symbol,date,transition,prior_regime,new_regime
DAIO,2025-08-22,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DAKT,2025-03-05,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DAKT,2025-09-11,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
DAKT,2025-09-24,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DALI,2025-03-07,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DAN,2024-07-05,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DAN,2024-10-30,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
DAN,2025-04-09,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DAO,2025-02-10,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
DAPP,2024-11-07,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
DAPP,2024-12-19,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DAPR,2025-04-07,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DAR,2024-06-14,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DAR,2025-03-13,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
DAR,2025-04-04,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DARE,2025-06-25,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DARP,2025-09-02,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DASH,2024-11-06,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DAVA,2024-04-05,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DAY,2025-08-06,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DBAW,2024-07-31,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DBD,2024-03-15,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DBI,2024-04-10,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DBI,2024-09-11,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
DBMF,2024-08-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DBX,2024-06-13,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
DBX,2024-06-21,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DBX,2025-01-28,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
DBX,2025-11-07,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DCBO,2024-08-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DCO,2025-08-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DCOM,2024-07-15,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DCOMG,2025-08-29,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DCRE,2025-07-23,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DCTH,2024-07-19,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DCTH,2025-10-16,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DDD,2024-08-05,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DDIV,2024-11-29,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DDL,2024-05-09,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DDL,2024-09-30,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
DDL,2024-10-15,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DEC,2024-07-24,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DECO,2025-11-11,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DECU,2025-11-21,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DEMZ,2025-03-14,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DENN,2024-08-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DEO,2025-07-30,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DES,2024-07-31,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DESK,2024-05-21,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DESK,2024-05-29,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
DFAS,2024-12-17,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DFAT,2025-12-10,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
DFCA,2025-12-12,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DFEB,2025-04-07,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DFEV,2024-08-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DFH,2025-02-21,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
DFLI,2025-01-27,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DFSV,2025-12-10,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
DG,2024-05-28,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DGLY,2024-08-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DGLY,2024-08-19,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
DGS,2024-12-03,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DHIL,2025-05-02,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DHR,2025-01-30,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DHR,2025-04-04,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
DHS,2025-04-09,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DHX,2025-05-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DIA,2025-10-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DIBS,2024-04-11,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DIM,2025-04-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DIN,2025-11-05,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DINT,2025-06-16,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DIOD,2025-02-11,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
DIS,2024-04-03,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
DIS,2024-04-12,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DIS,2024-06-28,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
DIT,2024-05-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DIVD,2025-04-11,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DIVG,2025-04-09,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DIVO,2025-10-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DIVY,2024-04-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DJIA,2024-05-22,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DJT,2024-08-30,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DJTU,2025-10-28,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DKNG,2025-07-30,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DKS,2024-03-13,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DKS,2024-03-21,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
DLNG,2025-11-20,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DLR,2024-11-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DLTR,2024-07-31,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DLTR,2024-09-04,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
DLTR,2025-06-03,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DMAC,2024-12-20,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DMAY,2025-02-28,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DMCY,2025-01-14,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DMXF,2024-06-14,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DNUT,2025-05-08,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
DOCS,2025-03-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DOCT,2025-02-28,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DOG,2025-08-20,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DOMH,2025-08-12,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DON,2024-12-16,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DOUG,2024-07-26,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DOW,2025-04-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DOX,2024-11-13,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DOYU,2025-07-15,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DQ,2024-05-22,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DRCT,2024-11-14,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DRD,2024-09-16,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DRH,2025-10-29,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DRLL,2024-05-24,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DRS,2025-07-29,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DRSK,2025-03-19,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DRV,2024-10-21,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
DRV,2024-12-18,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DRVN,2025-02-24,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DSGX,2024-03-11,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DSP,2025-11-11,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DSWL,2025-09-02,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
DSWL,2025-09-11,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DSX,2024-11-21,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DSX,2025-09-08,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DSY,2024-08-09,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
DTE,2024-05-09,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DTI,2025-09-16,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DTIL,2024-11-14,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DTIL,2024-12-31,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
DTM,2025-03-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DTRE,2024-10-14,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DTSS,2025-05-16,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DUKH,2025-10-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DUKX,2025-01-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DV,2024-05-07,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DVA,2024-05-24,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DVAX,2024-05-09,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
DVLU,2025-07-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DVN,2024-12-04,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DVND,2024-12-16,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DVOL,2024-11-14,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
DVOL,2024-12-05,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DVY,2025-11-21,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DWAS,2024-11-13,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DWAW,2024-05-02,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DWAW,2024-12-10,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
DWMF,2024-07-02,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DWSH,2025-07-22,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
DWTX,2025-02-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DXCM,2024-07-25,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DXF,2025-01-24,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
DXF,2025-03-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DXJ,2025-04-07,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DXLG,2025-03-21,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DXR,2024-06-04,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
DXYZ,2024-11-11,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
DXYZ,2024-11-27,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DY,2025-07-22,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
DYAI,2025-09-23,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
DYLG,2024-10-23,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
DYN,2024-03-25,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
DYN,2024-04-12,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EA,2024-07-29,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EAF,2024-06-12,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EAFG,2024-08-02,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
EAFG,2024-12-05,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
EAOK,2024-11-06,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EAOM,2025-04-09,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EAT,2025-02-07,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EB,2024-08-14,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EBON,2025-02-24,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EC,2024-11-08,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
ECBK,2025-04-16,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ECDA,2025-10-31,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ECH,2024-06-07,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ECL,2024-10-11,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
ECNS,2025-11-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ECOR,2024-10-30,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ECOW,2024-06-07,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ECVT,2024-08-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ED,2025-02-21,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EDAP,2024-08-22,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EDIT,2024-08-07,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EDIV,2024-04-17,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EDN,2024-09-09,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
EDOW,2024-12-20,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EDSA,2024-11-07,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EDU,2024-11-25,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EDU,2025-04-08,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
EDU,2025-07-30,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EE,2024-09-20,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EEFT,2024-11-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EEFT,2025-04-07,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
EEFT,2025-08-13,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EEIQ,2025-08-22,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
EEM,2024-11-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EEMO,2025-09-11,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
EEMO,2025-10-09,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EEMS,2025-01-07,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EETH,2025-05-08,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EEX,2024-07-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EFAD,2024-10-21,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EFAV,2025-04-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EFO,2025-02-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EFU,2025-10-09,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EFXT,2024-04-02,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EFXT,2025-08-12,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EFZ,2025-07-22,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EG,2024-12-18,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
EGAN,2025-11-11,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EGBN,2024-04-10,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EGGQ,2025-08-22,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EGGS,2025-11-07,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EGHT,2024-04-12,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EGLE,2024-04-05,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EGUS,2025-03-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EGY,2025-04-07,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
EGY,2025-11-11,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EHTH,2024-03-15,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EHTH,2024-04-15,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
EHTH,2024-11-06,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EIRL,2024-06-10,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EIS,2025-03-04,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EIX,2025-01-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ELA,2024-11-08,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ELAB,2024-08-20,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
ELAB,2024-11-27,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
ELBM,2025-08-21,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ELDN,2025-10-17,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ELF,2024-08-09,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ELF,2025-02-07,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
ELF,2025-05-27,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ELMD,2025-03-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ELS,2024-04-10,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ELSE,2024-09-10,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ELTX,2025-01-30,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ELV,2025-04-17,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ELVA,2025-12-11,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EMBC,2025-11-21,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EMES,2025-12-10,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EMHY,2024-12-18,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EMP,2024-05-24,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EMQQ,2025-07-28,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EMR,2025-07-17,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
EMSF,2024-12-02,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EMTL,2025-04-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ENB,2024-08-22,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ENB,2025-09-30,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
ENB,2025-10-07,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ENGN,2024-05-30,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ENGN,2025-09-03,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ENLV,2024-04-09,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ENOR,2024-06-07,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ENOV,2024-05-23,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ENR,2025-08-05,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ENVA,2024-07-24,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ENVX,2024-07-17,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EOLS,2025-08-25,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EONR,2025-10-22,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EOSE,2024-08-21,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EPAC,2024-10-16,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EPAM,2024-05-09,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EPD,2024-12-13,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EPM,2024-08-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EPM,2025-11-17,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
EPMB,2025-10-30,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EPOW,2024-05-28,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EPR,2025-09-09,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EPRF,2024-11-05,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EPRT,2024-12-17,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EPSM,2025-09-29,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EPWK,2025-06-04,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EQ,2024-06-04,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EQH,2024-11-05,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EQH,2025-03-04,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EQIX,2024-03-04,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
EQIX,2024-03-13,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EQIX,2024-03-20,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
EQIX,2025-01-27,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EQL,2024-08-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EQNR,2025-02-04,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EQT,2025-04-09,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EQX,2024-04-26,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ERAS,2025-05-29,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ERNA,2024-12-13,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ERX,2024-10-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ES,2024-04-30,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ESAB,2024-03-15,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ESGL,2024-09-10,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ESLT,2024-09-11,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ESMV,2025-02-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ESOA,2025-01-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ESPR,2025-10-08,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ESTC,2025-01-28,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ETD,2025-01-30,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ETEC,2025-10-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ETHD,2025-08-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ETON,2024-11-22,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ETOR,2025-09-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ETSY,2024-12-20,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ETU,2025-01-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EU,2025-10-15,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EUFN,2025-04-09,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EVAX,2025-09-25,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EVEX,2024-08-06,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
EVEX,2024-09-19,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EVGN,2024-12-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EVGO,2025-05-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EVMT,2024-06-12,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EVMT,2025-04-08,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
EVO,2024-04-22,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EVR,2025-09-24,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
EVR,2025-10-07,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
EVRG,2024-09-20,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
EVRG,2025-02-27,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
EVSB,2024-11-12,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
